Airline,Source,Destination,Route,Total_Stops,Price,Journey_Day,Journey_Month,Duration_in_Mins
IndiGo,Banglore,New Delhi,BLR → DEL,non-stop,3897,24,March,170
Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,2 stops,7662,1,May,445
Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2 stops,13882,9,June,1140
IndiGo,Kolkata,Banglore,CCU → NAG → BLR,1 stop,6218,12,May,325
IndiGo,Banglore,New Delhi,BLR → NAG → DEL,1 stop,13302,1,March,285
SpiceJet,Kolkata,Banglore,CCU → BLR,non-stop,3873,24,June,145
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,11087,12,March,930
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,22270,1,March,1265
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,11087,12,March,1530
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,8625,27,May,470
Air India,Delhi,Cochin,DEL → BLR → COK,1 stop,8907,1,June,795
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4174,18,April,155
Air India,Chennai,Kolkata,MAA → CCU,non-stop,4667,24,June,135
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,9663,9,May,730
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4804,24,April,155
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,14011,3,March,1595
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1 stop,5830,15,April,270
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,12,June,1355
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2 stops,13381,12,June,1380
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,12898,27,May,1235
GoAir,Delhi,Cochin,DEL → BOM → COK,1 stop,19495,6,March,310
Air India,Banglore,New Delhi,BLR → COK → DEL,1 stop,6955,21,March,920
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3943,3,April,170
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,4823,1,May,175
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,7757,6,May,800
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,13292,9,June,910
IndiGo,Delhi,Cochin,DEL → LKO → COK,1 stop,8238,1,June,345
GoAir,Delhi,Cochin,DEL → BOM → COK,1 stop,7682,15,May,355
Vistara,Banglore,Delhi,BLR → DEL,non-stop,4668,18,June,170
Vistara,Chennai,Kolkata,MAA → CCU,non-stop,3687,15,June,135
Vistara,Chennai,Kolkata,MAA → CCU,non-stop,3687,18,June,135
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,2 stops,13227,1,May,805
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,4423,6,April,170
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,10919,15,June,1320
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,12373,18,May,330
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,5894,27,June,625
SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,1 stop,4649,21,May,315
Air India,Kolkata,Banglore,CCU → BLR,non-stop,6245,18,May,150
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,19225,6,March,375
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,14924,3,June,715
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1 stop,9646,21,May,665
Air India,Banglore,New Delhi,BLR → BOM → DEL,1 stop,8714,15,March,510
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,12373,18,May,1325
Air Asia,Banglore,Delhi,BLR → DEL,non-stop,3383,6,May,165
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,13062,21,March,720
SpiceJet,Banglore,New Delhi,BLR → DEL,non-stop,3527,24,March,170
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3943,27,May,170
Air India,Chennai,Kolkata,MAA → CCU,non-stop,4667,3,May,135
Air India,Kolkata,Banglore,CCU → HYD → BLR,1 stop,6117,15,May,965
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,11150,27,June,1195
Jet Airways,Delhi,Cochin,DEL → COK,non-stop,7202,9,March,195
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1 stop,12121,1,May,1520
IndiGo,Banglore,New Delhi,BLR → DEL,non-stop,4377,24,March,170
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3943,18,June,180
Air Asia,Banglore,Delhi,BLR → DEL,non-stop,4483,3,April,170
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14231,24,March,975
Air India,Banglore,New Delhi,BLR → BOM → AMD → DEL,2 stops,17345,1,March,905
Vistara,Chennai,Kolkata,MAA → CCU,non-stop,7414,6,March,135
